area_code,region,zone_code,zone_name,utc_offset_std,utc_offset_dst,multi_timezone
201,NJ,EST,America/New_York,-5,-4,false
306,SK,MTN,America/Denver,-7,-6,false
416,ON,EST,America/New_York,-5,-4,false
548,ON,EST,America/New_York,-5,-4,false
659,AL,CEN,America/Chicago,-6,-5,false
778,BC,PAC,America/Los_Angeles,-8,-7,false
902,NS,ATL,America/Halifax,-4,-3,false
202,DC,EST,America/New_York,-5,-4,false
307,WY,MTN,America/Denver,-7,-6,false
417,MO,CEN,America/Chicago,-6,-5,false
551,NJ,EST,America/New_York,-5,-4,false
660,MO,CEN,America/Chicago,-6,-5,false
779,IL,CEN,America/Chicago,-6,-5,false
903,TX,CEN,America/Chicago,-6,-5,false
203,CT,EST,America/New_York,-5,-4,false
308,NE,CEN,America/Chicago,-6,-5,true
418,QC,EST,America/New_York,-5,-4,false
559,CA,PAC,America/Los_Angeles,-8,-7,false
661,CA,PAC,America/Los_Angeles,-8,-7,false
780,AB,MTN,America/Denver,-7,-6,false
904,FL,EST,America/New_York,-5,-4,false
204,MB,CEN,America/Chicago,-6,-5,false
309,IL,CEN,America/Chicago,-6,-5,false
419,OH,EST,America/New_York,-5,-4,false
561,FL,EST,America/New_York,-5,-4,false
662,MS,CEN,America/Chicago,-6,-5,false
781,MA,EST,America/New_York,-5,-4,false
905,ON,EST,America/New_York,-5,-4,false
205,AL,CEN,America/Chicago,-6,-5,false
310,CA,PAC,America/Los_Angeles,-8,-7,false
423,TN,EST,America/New_York,-5,-4,true
562,CA,PAC,America/Los_Angeles,-8,-7,false
667,MD,EST,America/New_York,-5,-4,false
782,NS,ATL,America/Halifax,-4,-3,false
906,MI,EST,America/New_York,-5,-4,true
206,WA,PAC,America/Los_Angeles,-8,-7,false
312,IL,CEN,America/Chicago,-6,-5,false
424,CA,PAC,America/Los_Angeles,-8,-7,false
563,IA,CEN,America/Chicago,-6,-5,false
669,CA,PAC,America/Los_Angeles,-8,-7,false
785,KS,CEN,America/Chicago,-6,-5,true
907,AK,ALA,America/Anchorage,-9,-8,true
207,ME,EST,America/New_York,-5,-4,false
313,MI,EST,America/New_York,-5,-4,false
425,WA,PAC,America/Los_Angeles,-8,-7,false
564,WA,PAC,America/Los_Angeles,-8,-7,false
672,BC,PAC,America/Los_Angeles,-8,-7,false
786,FL,EST,America/New_York,-5,-4,false
908,NJ,EST,America/New_York,-5,-4,false
208,ID,MTN,America/Denver,-7,-6,true
314,MO,CEN,America/Chicago,-6,-5,false
430,TX,CEN,America/Chicago,-6,-5,false
567,OH,EST,America/New_York,-5,-4,false
678,GA,EST,America/New_York,-5,-4,false
801,UT,MTN,America/Denver,-7,-6,false
909,CA,PAC,America/Los_Angeles,-8,-7,false
209,CA,PAC,America/Los_Angeles,-8,-7,false
315,NY,EST,America/New_York,-5,-4,false
431,MB,CEN,America/Chicago,-6,-5,false
570,PA,EST,America/New_York,-5,-4,false
680,NY,EST,America/New_York,-5,-4,false
802,VT,EST,America/New_York,-5,-4,false
910,NC,EST,America/New_York,-5,-4,false
210,TX,CEN,America/Chicago,-6,-5,false
316,KS,CEN,America/Chicago,-6,-5,false
432,TX,CEN,America/Chicago,-6,-5,false
571,VA,EST,America/New_York,-5,-4,false
681,WV,EST,America/New_York,-5,-4,false
803,SC,EST,America/New_York,-5,-4,false
912,GA,EST,America/New_York,-5,-4,false
212,NY,EST,America/New_York,-5,-4,false
317,IN,EST,America/New_York,-5,-4,false
434,VA,EST,America/New_York,-5,-4,false
573,MO,CEN,America/Chicago,-6,-5,false
682,TX,CEN,America/Chicago,-6,-5,false
804,VA,EST,America/New_York,-5,-4,false
913,KS,CEN,America/Chicago,-6,-5,false
213,CA,PAC,America/Los_Angeles,-8,-7,false
318,LA,CEN,America/Chicago,-6,-5,false
435,UT,MTN,America/Denver,-7,-6,false
574,IN,EST,America/New_York,-5,-4,true
689,FL,EST,America/New_York,-5,-4,false
805,CA,PAC,America/Los_Angeles,-8,-7,false
914,NY,EST,America/New_York,-5,-4,false
214,TX,CEN,America/Chicago,-6,-5,false
319,IA,CEN,America/Chicago,-6,-5,false
437,ON,EST,America/New_York,-5,-4,false
575,NM,MTN,America/Denver,-7,-6,false
701,ND,CEN,America/Chicago,-6,-5,true
806,TX,CEN,America/Chicago,-6,-5,false
915,TX,MTN,America/Denver,-7,-6,true
215,PA,EST,America/New_York,-5,-4,false
320,MN,CEN,America/Chicago,-6,-5,false
438,QC,EST,America/New_York,-5,-4,false
579,QC,EST,America/New_York,-5,-4,false
702,NV,PAC,America/Los_Angeles,-8,-7,false
807,ON,EST,America/New_York,-5,-4,false
916,CA,PAC,America/Los_Angeles,-8,-7,false
216,OH,EST,America/New_York,-5,-4,false
321,FL,EST,America/New_York,-5,-4,false
440,OH,EST,America/New_York,-5,-4,false
580,OK,CEN,America/Chicago,-6,-5,false
703,VA,EST,America/New_York,-5,-4,false
808,HI,HAW,Pacific/Honolulu,-10,-10,false
917,NY,EST,America/New_York,-5,-4,false
217,IL,CEN,America/Chicago,-6,-5,false
323,CA,PAC,America/Los_Angeles,-8,-7,false
442,CA,PAC,America/Los_Angeles,-8,-7,false
581,QC,EST,America/New_York,-5,-4,false
704,NC,EST,America/New_York,-5,-4,false
809,DO,ATL,America/Halifax,-4,-3,false
918,OK,CEN,America/Chicago,-6,-5,false
218,MN,CEN,America/Chicago,-6,-5,false
325,TX,CEN,America/Chicago,-6,-5,false
443,MD,EST,America/New_York,-5,-4,false
585,NY,EST,America/New_York,-5,-4,false
705,ON,EST,America/New_York,-5,-4,false
810,MI,EST,America/New_York,-5,-4,false
919,NC,EST,America/New_York,-5,-4,false
219,IN,CEN,America/Chicago,-6,-5,true
326,OH,EST,America/New_York,-5,-4,false
445,PA,EST,America/New_York,-5,-4,false
586,MI,EST,America/New_York,-5,-4,false
706,GA,EST,America/New_York,-5,-4,false
812,IN,EST,America/New_York,-5,-4,true
920,WI,CEN,America/Chicago,-6,-5,false
220,OH,EST,America/New_York,-5,-4,false
330,OH,EST,America/New_York,-5,-4,false
450,QC,EST,America/New_York,-5,-4,false
587,AB,MTN,America/Denver,-7,-6,false
707,CA,PAC,America/Los_Angeles,-8,-7,false
813,FL,EST,America/New_York,-5,-4,false
925,CA,PAC,America/Los_Angeles,-8,-7,false
223,PA,EST,America/New_York,-5,-4,false
331,IL,CEN,America/Chicago,-6,-5,false
458,OR,PAC,America/Los_Angeles,-8,-7,true
601,MS,CEN,America/Chicago,-6,-5,false
708,IL,CEN,America/Chicago,-6,-5,false
814,PA,EST,America/New_York,-5,-4,false
928,AZ,MTN,America/Denver,-7,-6,true
224,IL,CEN,America/Chicago,-6,-5,false
332,NY,EST,America/New_York,-5,-4,false
463,IN,EST,America/New_York,-5,-4,false
602,AZ,MTN,America/Denver,-7,-6,false
709,NL,NFI,America/St_Johns,-3.5,-2.5,true
815,IL,CEN,America/Chicago,-6,-5,false
929,NY,EST,America/New_York,-5,-4,false
225,LA,CEN,America/Chicago,-6,-5,false
334,AL,CEN,America/Chicago,-6,-5,true
469,TX,CEN,America/Chicago,-6,-5,false
603,NH,EST,America/New_York,-5,-4,false
712,IA,CEN,America/Chicago,-6,-5,false
816,MO,CEN,America/Chicago,-6,-5,false
930,IN,EST,America/New_York,-5,-4,true
226,ON,EST,America/New_York,-5,-4,false
336,NC,EST,America/New_York,-5,-4,false
470,GA,EST,America/New_York,-5,-4,false
604,BC,PAC,America/Los_Angeles,-8,-7,false
713,TX,CEN,America/Chicago,-6,-5,false
817,TX,CEN,America/Chicago,-6,-5,false
931,TN,CEN,America/Chicago,-6,-5,false
228,MS,CEN,America/Chicago,-6,-5,false
337,LA,CEN,America/Chicago,-6,-5,false
475,CT,EST,America/New_York,-5,-4,false
605,SD,CEN,America/Chicago,-6,-5,true
714,CA,PAC,America/Los_Angeles,-8,-7,false
818,CA,PAC,America/Los_Angeles,-8,-7,false
934,NY,EST,America/New_York,-5,-4,false
229,GA,EST,America/New_York,-5,-4,false
339,MA,EST,America/New_York,-5,-4,false
478,GA,EST,America/New_York,-5,-4,false
606,KY,EST,America/New_York,-5,-4,true
715,WI,CEN,America/Chicago,-6,-5,false
819,QC,EST,America/New_York,-5,-4,false
936,TX,CEN,America/Chicago,-6,-5,false
231,MI,EST,America/New_York,-5,-4,false
341,CA,PAC,America/Los_Angeles,-8,-7,false
479,AR,CEN,America/Chicago,-6,-5,false
607,NY,EST,America/New_York,-5,-4,false
716,NY,EST,America/New_York,-5,-4,false
820,CA,PAC,America/Los_Angeles,-8,-7,false
937,OH,EST,America/New_York,-5,-4,false
234,OH,EST,America/New_York,-5,-4,false
343,ON,EST,America/New_York,-5,-4,false
480,AZ,MTN,America/Denver,-7,-6,false
608,WI,CEN,America/Chicago,-6,-5,false
717,PA,EST,America/New_York,-5,-4,false
825,AB,MTN,America/Denver,-7,-6,false
938,AL,CEN,America/Chicago,-6,-5,false
236,BC,PAC,America/Los_Angeles,-8,-7,false
346,TX,CEN,America/Chicago,-6,-5,false
484,PA,EST,America/New_York,-5,-4,false
609,NJ,EST,America/New_York,-5,-4,false
718,NY,EST,America/New_York,-5,-4,false
828,NC,EST,America/New_York,-5,-4,false
940,TX,CEN,America/Chicago,-6,-5,false
239,FL,EST,America/New_York,-5,-4,false
347,NY,EST,America/New_York,-5,-4,false
501,AR,CEN,America/Chicago,-6,-5,false
